dataset_version,backbone,classifier,seed,aggregation_method,threshold_policy,n_folds,n_speakers,duplicate_validation_speaker_rows,embedding_dim,selected_c_values,calibration_statuses,fold_note,threshold_mean,threshold_std,threshold_min,threshold_max,target_recall_pass,target_specificity_pass,target_zone_pass,recall,specificity,precision,f1,roc_auc,accuracy,balanced_accuracy,true_negatives,false_positives,false_negatives,true_positives,confusion_matrix_tn_fp_fn_tp
trusted_cleaned,microsoft/wavlm-base-plus,logistic_regression_platt,42,mean_score,default_0.5,5,191,0,1536,1.0;1.0;1.0;1.0;1.0,training_only_in_sample_platt,"StratifiedGroupKFold n_splits=5; speaker class counts={0: 107, 1: 84}",0.5,0.0,0.5,0.5,False,True,False,0.39285714285714285,0.8691588785046729,0.7021276595744681,0.5038167938931297,0.5973520249221184,0.6596858638743456,0.6310080106809078,93,14,51,33,"93,14,51,33"
trusted_cleaned,microsoft/wavlm-base-plus,logistic_regression_platt,42,mean_score,constrained_spec_ge_0.50,5,191,0,1536,1.0;1.0;1.0;1.0;1.0,training_only_in_sample_platt,"StratifiedGroupKFold n_splits=5; speaker class counts={0: 107, 1: 84}",0.9800000000000001,1.2412670766236366e-16,0.98,0.98,False,True,False,0.20238095238095238,0.9906542056074766,0.9444444444444444,0.3333333333333333,0.5973520249221184,0.643979057591623,0.5965175789942145,106,1,67,17,"106,1,67,17"
trusted_cleaned,microsoft/wavlm-base-plus,logistic_regression_platt,42,max_score,default_0.5,5,191,0,1536,1.0;1.0;1.0;1.0;1.0,training_only_in_sample_platt,"StratifiedGroupKFold n_splits=5; speaker class counts={0: 107, 1: 84}",0.5,0.0,0.5,0.5,False,True,False,0.40476190476190477,0.616822429906542,0.4533333333333333,0.4276729559748428,0.5275923453493547,0.5235602094240838,0.5107921673342234,66,41,50,34,"66,41,50,34"
trusted_cleaned,microsoft/wavlm-base-plus,logistic_regression_platt,42,max_score,constrained_spec_ge_0.50,5,191,0,1536,1.0;1.0;1.0;1.0;1.0,training_only_in_sample_platt,"StratifiedGroupKFold n_splits=5; speaker class counts={0: 107, 1: 84}",0.9800000000000001,1.2412670766236366e-16,0.98,0.98,False,True,False,0.25,0.8411214953271028,0.5526315789473685,0.3442622950819672,0.5275923453493547,0.581151832460733,0.5455607476635513,90,17,63,21,"90,17,63,21"
trusted_cleaned,microsoft/wavlm-base-plus,logistic_regression_platt,42,majority_vote,default_0.5,5,191,0,1536,1.0;1.0;1.0;1.0;1.0,training_only_in_sample_platt,"StratifiedGroupKFold n_splits=5; speaker class counts={0: 107, 1: 84}",0.5,0.0,0.5,0.5,False,True,False,0.40476190476190477,0.7757009345794392,0.5862068965517241,0.4788732394366197,0.57109479305741,0.612565445026178,0.5902314196706719,83,24,50,34,"83,24,50,34"
trusted_cleaned,microsoft/wavlm-base-plus,logistic_regression_platt,42,majority_vote,constrained_spec_ge_0.50,5,191,0,1536,1.0;1.0;1.0;1.0;1.0,training_only_in_sample_platt,"StratifiedGroupKFold n_splits=5; speaker class counts={0: 107, 1: 84}",0.9800000000000001,1.2412670766236366e-16,0.98,0.98,False,True,False,0.25,0.8878504672897196,0.6363636363636364,0.358974358974359,0.5611370716510903,0.6073298429319371,0.5689252336448598,95,12,63,21,"95,12,63,21"
trusted_cleaned,microsoft/wavlm-base-plus,logistic_regression_platt,43,mean_score,default_0.5,5,191,0,1536,1.0;1.0;1.0;1.0;1.0,training_only_in_sample_platt,"StratifiedGroupKFold n_splits=5; speaker class counts={0: 107, 1: 84}",0.5,0.0,0.5,0.5,False,True,False,0.39285714285714285,0.8504672897196262,0.673469387755102,0.49624060150375937,0.5947930574098799,0.6492146596858639,0.6216622162883845,91,16,51,33,"91,16,51,33"
trusted_cleaned,microsoft/wavlm-base-plus,logistic_regression_platt,43,mean_score,constrained_spec_ge_0.50,5,191,0,1536,1.0;1.0;1.0;1.0;1.0,training_only_in_sample_platt,"StratifiedGroupKFold n_splits=5; speaker class counts={0: 107, 1: 84}",0.9800000000000001,1.2412670766236366e-16,0.98,0.98,False,True,False,0.21428571428571427,0.9813084112149533,0.9,0.34615384615384615,0.5947930574098799,0.643979057591623,0.5977970627503337,105,2,66,18,"105,2,66,18"
trusted_cleaned,microsoft/wavlm-base-plus,logistic_regression_platt,43,max_score,default_0.5,5,191,0,1536,1.0;1.0;1.0;1.0;1.0,training_only_in_sample_platt,"StratifiedGroupKFold n_splits=5; speaker class counts={0: 107, 1: 84}",0.5,0.0,0.5,0.5,False,True,False,0.39285714285714285,0.5420560747663551,0.4024390243902439,0.39759036144578314,0.5041165999109924,0.47643979057591623,0.467456608811749,58,49,51,33,"58,49,51,33"
trusted_cleaned,microsoft/wavlm-base-plus,logistic_regression_platt,43,max_score,constrained_spec_ge_0.50,5,191,0,1536,1.0;1.0;1.0;1.0;1.0,training_only_in_sample_platt,"StratifiedGroupKFold n_splits=5; speaker class counts={0: 107, 1: 84}",0.9800000000000001,1.2412670766236366e-16,0.98,0.98,False,True,False,0.25,0.8130841121495327,0.5121951219512195,0.336,0.5041165999109924,0.5654450261780105,0.5315420560747663,87,20,63,21,"87,20,63,21"
